ticker,ff12,ff12_source,classification_confidence
ATRA,10,legacy_symbols_with_sector,
ATRC,10,legacy_symbols_with_sector,
ATRO,3,legacy_symbols_with_sector,
ATS,3,legacy_symbols_with_sector,
ATXG,12,legacy_symbols_with_sector,
ATXI,10,legacy_symbols_with_sector,
ATYR,10,legacy_symbols_with_sector,
AU,12,legacy_symbols_with_sector,
AUB,11,legacy_symbols_with_sector,
AUBN,11,legacy_symbols_with_sector,
AUDC,6,legacy_symbols_with_sector,
AUID,6,legacy_symbols_with_sector,
AUPH,10,legacy_symbols_with_sector,
AUR,6,legacy_symbols_with_sector,
AURA,10,legacy_symbols_with_sector,
AUROW,6,legacy_symbols_with_sector,
AUST,12,legacy_symbols_with_sector,
AUTL,10,legacy_symbols_with_sector,
AUUD,6,legacy_symbols_with_sector,
AVA,8,legacy_symbols_with_sector,
AVAH,10,legacy_symbols_with_sector,
AVAL,11,legacy_symbols_with_sector,
AVAV,3,legacy_symbols_with_sector,
AVB,11,legacy_symbols_with_sector,
AVD,5,legacy_symbols_with_sector,
AVGO,6,legacy_symbols_with_sector,
AVIR,10,legacy_symbols_with_sector,
AVNS,10,legacy_symbols_with_sector,
AVNT,5,legacy_symbols_with_sector,
AVNW,6,legacy_symbols_with_sector,
AVO,1,legacy_symbols_with_sector,
AVPT,6,legacy_symbols_with_sector,
AVT,9,legacy_symbols_with_sector,
AVTR,6,legacy_symbols_with_sector,
AVTX,10,legacy_symbols_with_sector,
AVX,11,legacy_symbols_with_sector,
AVXL,10,legacy_symbols_with_sector,
AVY,3,legacy_symbols_with_sector,
AWI,3,legacy_symbols_with_sector,
AWK,8,legacy_symbols_with_sector,
AWR,8,legacy_symbols_with_sector,
AWRE,6,legacy_symbols_with_sector,
AWX,12,legacy_symbols_with_sector,
AX,11,legacy_symbols_with_sector,
AXGN,10,legacy_symbols_with_sector,
AXIA,8,legacy_symbols_with_sector,
AXON,3,legacy_symbols_with_sector,
AXP,11,legacy_symbols_with_sector,
