ticker,cik,sic,ff12,ff48,ff49,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason,sic_desc
AIRTP,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AISP,1842566,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AISPW,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AIT,109563,5080.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
AIV,922864,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AIXC,1460702,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AIXI,1935172,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AIZ,1267238,6399.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AIZN,1267238,6399.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AJG,354190,6411.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AKA,1865107,5961.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
AKAM,1086222,7389.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AKAN,1888014,2833.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AKBA,1517022,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AKO-A,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
AKO-B,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
AKO.A,925261,2086.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
AKO.B,925261,2086.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
AKR,899629,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AKTX,1541157,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AL,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ALAB,1736297,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALAR,1725332,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALB,915913,2821.0,5,-1,-1,Chems,sic_mapping,high,,,,,,
ALBT,1630212,7371.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALC,1167379,3851.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALCO,3545,100.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
ALDX,1341235,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALEC,1653087,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALG,897077,3523.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
ALGM,866291,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALGN,1097149,3842.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALGS,1799448,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALGT,1362468,4512.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ALHC,1832466,6324.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ALIT,1809104,7389.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ALK,766421,4512.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ALKS,1520262,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALKT,1529274,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALL,899051,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ALLE,1579241,7381.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ALLO,1737287,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALLR,1860657,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALLT,1365767,3576.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALLY,40729,6022.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ALM,1670061,1000.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ALMS,1847367,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALMU,1828805,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALNT,46129,3825.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALNY,1178670,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALOT,8146,3577.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALOY,1567900,1000.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ALP,1095435,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALPS,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ALRM,1459200,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ALRS,903419,6021.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ALSN,1411207,3714.0,2,-1,-1,Durbl,sic_mapping,high,,,,,,
ALT,1326190,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALTG,1759824,5084.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
ALTI,1838615,6282.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ALTO,778164,2860.0,5,-1,-1,Chems,sic_mapping,high,,,,,,
ALV,1034670,3714.0,2,-1,-1,Durbl,sic_mapping,high,,,,,,
