symbol,status,latest_date,row_count,futu_basic_available,futu_stock_type,futu_exchange_type,futu_name,final_futu_history_status,final_futu_latest_date,final_futu_history_rows,final_futu_error
FNIGY,empty_csv,,0,True,STOCK,US_PINK,FINNING INTERNATIONAL INC UNSPON ADS EACH REP 1 COM,history_error,,0.0,Do not support OTC market data FNIGY
FORA,stale_csv,2026-05-15,136,True,STOCK,US_NASDAQ,Forian(Delisted),history_stale,2026-05-14,121.0,
FRBT,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
FRLCY,stale_csv,2025-12-10,1,True,STOCK,US_PINK,FREELANCER LTD SPON ADS EACH REP 100 ORD,history_error,,0.0,Do not support OTC market data FRLCY
FRTJF,stale_csv,2026-05-20,40,False,,,,not_in_futu_basicinfo,,0.0,
FRTRY,empty_csv,,0,True,STOCK,US_PINK,FORTIOR TECH SHENZHEN CO LTD UNSPON ADS EACH REP 1 ORD H SHS,history_error,,0.0,Do not support OTC market data FRTRY
FRTT,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
FSTWF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
FTPSF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
FVGPY,empty_csv,,0,True,STOCK,US_PINK,FINVOLUTION GROUP,history_error,,0.0,Do not support OTC market data FVGPY
GAFC,stale_csv,2026-03-24,1,True,STOCK,US_PINK,GURU APP FACTORY CORP,history_error,,0.0,Do not support OTC market data GAFC
GAMG,stale_csv,2026-05-14,55,True,STOCK,US_PINK,GLOBAL ASSET MGMT GROUP INC,history_error,,0.0,Do not support OTC market data GAMG
GBH,empty_csv,,0,True,STOCK,US_NASDAQ,Gigabit,history_empty,,0.0,
GBNXY,empty_csv,,0,True,STOCK,US_PINK,GIBSON ENERGY INC UNSPON ADS EACH REP 1 COM,history_error,,0.0,Do not support OTC market data GBNXY
GCGJ,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GCGR,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GDGIF,stale_csv,2026-05-15,8,False,,,,not_in_futu_basicinfo,,0.0,
GDHLF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GDNT,empty_csv,,0,True,STOCK,US_NASDAQ,Guident,history_empty,,0.0,
GEHDF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GFRWF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GFSAY,empty_csv,,0,True,STOCK,US_PINK,GAFISA SA SPON GDR EACH REP 2 ORD SHS (POST REV SP,history_error,,0.0,Do not support OTC market data GFSAY
GFTFF,stale_csv,2026-04-30,48,False,,,,not_in_futu_basicinfo,,0.0,
GGBY,stale_csv,2026-03-24,1,True,STOCK,US_PINK,GO GO BUYERS INC.,history_error,,0.0,Do not support OTC market data GGBY
GGRPY,empty_csv,,0,True,STOCK,US_PINK,GPT GROUP ADS EACH REP 4 ORD,history_error,,0.0,Do not support OTC market data GGRPY
GGTKY,empty_csv,,0,True,STOCK,US_PINK,GOTO GOJEK TOKOPEDIA TBK UNSPON ADS EACH REP 0.00025 SHS,history_error,,0.0,Do not support OTC market data GGTKY
GIVE,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GLEI,empty_csv,,0,True,STOCK,US_PINK,GLEI,history_error,,0.0,Do not support OTC market data GLEI
GLVPY,empty_csv,,0,True,STOCK,US_PINK,GLENVEAGH PROPERTIES PLC UNSPON ADS EACH REP 5 ORD,history_error,,0.0,Do not support OTC market data GLVPY
GMBLZ,stale_csv,2026-03-13,1,True,WARRANT,US_PINK,ESPORTS ENTERTAINMENT GROUP INC C/WTS 02/03/2027 (TO PUR COM),history_error,,0.0,Do not support OTC market data GMBLZ
GOW,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GRCPY,empty_csv,,0,True,STOCK,US_PINK,CANAL PLUS SA UNSPON ADR EACH REP 5 ORD,history_error,,0.0,Do not support OTC market data GRCPY
GRVT,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GRWFF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
GSMT,empty_csv,,0,True,STOCK,US_PINK,GLOBAL SMART TECH INC,history_error,,0.0,Do not support OTC market data GSMT
GTLRY,empty_csv,,0,True,STOCK,US_PINK,GREATLAND RESOURCES LIMITED UNSPON ADS EACH REP 4 ORD,history_error,,0.0,Do not support OTC market data GTLRY
GYGLF,stale_csv,2026-04-20,4,False,,,,not_in_futu_basicinfo,,0.0,
HAMA,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
HEMNF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
HGZDY,missing_csv,,0,True,STOCK,US_PINK,HANGZHOU DIAGENS BIO CO LTD UNSPON ADS EACH REP 0.3333 ORD,history_error,,0.0,Do not support OTC market data HGZDY
HIFI,empty_csv,,0,True,STOCK,US_NASDAQ,Hillhouse Frontier Holdings,history_empty,,0.0,
HNIT,empty_csv,,0,True,STOCK,US_PINK,HUINENG TECHNOLOGY CORP,history_error,,0.0,Do not support OTC market data HNIT
HNPHY,empty_csv,,0,True,STOCK,US_PINK,HANSOH PHARMACEUTICAL GROUP CO LTD UNSPON ADS EACH REP 5 ORD,history_error,,0.0,Do not support OTC market data HNPHY
HONA,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
HRBAY,empty_csv,,0,True,STOCK,US_PINK,HORIBA LTD UNSPON ADS EACH REP 0.2 ORD,history_error,,0.0,Do not support OTC market data HRBAY
HRZRF,stale_csv,2026-05-20,91,False,,,,not_in_futu_basicinfo,,0.0,
HSIGF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
HSPWF,stale_csv,2026-04-17,1,False,,,,not_in_futu_basicinfo,,0.0,
HUSIF,stale_csv,2026-05-20,137,False,,,,not_in_futu_basicinfo,,0.0,
HWLDF,stale_csv,2026-02-25,4,False,,,,not_in_futu_basicinfo,,0.0,
HYNLY,empty_csv,,0,True,STOCK,US_PINK,HYDRO ONE LTD UNSPON ADS EACH REP 0.3 COM,history_error,,0.0,Do not support OTC market data HYNLY
HYRD,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
HZRBY,empty_csv,,0,True,STOCK,US_PINK,HORIZON ROBOTICS UNSPON ADS EACH REP 10 ORD,history_error,,0.0,Do not support OTC market data HZRBY
IBL,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
ICRL,empty_csv,,0,True,STOCK,US_PINK,INPOINT COML REAL ESTATE INCOME INC,history_error,,0.0,Do not support OTC market data ICRL
IDAC,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
IDPEY,empty_csv,,0,True,STOCK,US_PINK,IDP EDUCATION LIMITED SPON ADS EACH REP 2 ORD,history_error,,0.0,Do not support OTC market data IDPEY
IFHLY,stale_csv,2026-02-12,1,True,STOCK,US_PINK,INFICON HOLDING AG,history_error,,0.0,Do not support OTC market data IFHLY
ILPLF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
IMAA,stale_csv,2026-05-15,30,True,STOCK,US_PINK,IMA TECH,history_error,,0.0,Do not support OTC market data IMAA
INHI,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
INIO,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
INNP,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
INRE,stale_csv,2026-05-19,15,True,STOCK,US_PINK,INLAND REAL ESTATE INCOME TRUST INC,history_error,,0.0,Do not support OTC market data INRE
IPSAY,empty_csv,,0,True,STOCK,US_PINK,IPSOS,history_error,,0.0,Do not support OTC market data IPSAY
IPV,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
IQMX,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
ISADY,empty_csv,,0,True,STOCK,US_PINK,ISS A/S UNSPON ADS EACH REP 0.25 ORD,history_error,,0.0,Do not support OTC market data ISADY
